Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:27:48.960,0.0,-0.1,8.5,96,4.1,0.00,2,1,-1024,-2,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:49.460,0.0,-0.2,7.7,96,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:49.960,0.0,-0.2,8.0,96,4.1,0.00,2,2,-1024,-2,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:50.460,0.0,-0.3,7.9,96,4.1,0.00,2,2,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:50.960,0.0,-0.3,8.1,96,4.1,0.00,2,1,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:51.460,0.0,-0.2,7.8,96,4.1,0.00,1,1,-1024,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:51.960,0.0,-0.3,7.8,96,4.1,0.00,1,1,-1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:52.460,-0.1,-0.3,7.5,96,4.1,0.00,1,1,-1024,-1,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:52.960,0.0,-0.2,7.6,95,4.1,0.00,2,1,-1024,-2,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:53.460,0.0,-0.3,7.5,91,4.1,0.00,2,2,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
